                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     33,                0.86249,                0.11472,                0.99654,                  1.294,                0.61641,                0.60017,                0.66965,                0.46328,                0.61641,                0.60017,                0.65686,                0.45584,                 1.2531,               0.082632,                 1.3369,                 1.7977,               0.006832,               0.006832,               0.006832
                     34,                0.81794,                0.13403,                0.97162,                 1.2798,                0.75175,                0.76073,                0.76942,                0.52208,                0.73863,                0.74558,                0.74321,                0.51336,                 1.1967,               0.094803,                 1.2087,                 1.7725,               0.006733,               0.006733,               0.006733
                     35,                0.80057,                0.12631,                0.92818,                 1.2479,                0.70986,                0.79959,                0.80385,                0.51719,                0.70986,                0.79959,                0.80385,                0.51068,                 1.1983,               0.078891,                 1.0843,                 1.7876,               0.006634,               0.006634,               0.006634
                     36,                0.75555,                0.12109,                0.90821,                  1.209,                0.65252,                0.58628,                 0.6721,                0.46013,                0.65252,                0.58628,                 0.6721,                 0.4539,                 1.1368,               0.082115,                  1.153,                 1.6491,               0.006535,               0.006535,               0.006535
                     37,                0.74695,                0.11992,                0.86061,                 1.2276,                0.84033,                0.64626,                0.81162,                0.56586,                0.84033,                0.64626,                0.81162,                0.54332,                 1.0125,               0.076888,                  1.029,                 1.6181,               0.006436,               0.006436,               0.006436
                     38,                0.72843,                 0.1209,                0.83414,                 1.1888,                0.76012,                0.70623,                0.77264,                0.54914,                0.76012,                0.70623,                0.77264,                0.53269,                0.97873,               0.083309,                 1.0532,                 1.5329,               0.006337,               0.006337,               0.006337
                     39,                0.79709,                0.11719,                0.87529,                 1.2236,                0.56276,                0.74979,                0.71837,                0.49726,                0.56276,                0.74979,                0.71837,                0.49051,                 1.0455,               0.081406,                 1.2005,                 1.5532,               0.006238,               0.006238,               0.006238
                     40,                0.71983,                0.11676,                0.81307,                 1.1794,                0.70626,                0.71149,                0.73701,                0.55775,                0.70626,                0.71149,                0.73701,                0.52862,                0.95692,               0.076022,                0.97049,                   1.53,               0.006139,               0.006139,               0.006139
                     41,                 0.7321,                0.11687,                0.82784,                 1.1578,                 0.6634,                0.82615,                0.78782,                0.54588,                 0.6634,                0.82615,                0.78668,                 0.5325,                0.96042,               0.075159,                0.91737,                 1.5193,                0.00604,                0.00604,                0.00604
                     42,                0.71322,                0.10247,                0.77795,                 1.1857,                0.64554,                0.70417,                0.76387,                0.54934,                0.64554,                0.70417,                0.76126,                 0.5251,                 0.9845,               0.074043,                 1.0069,                 1.5176,               0.005941,               0.005941,               0.005941
                     43,                 0.6786,                0.10788,                 0.7666,                 1.1146,                0.68588,                0.64896,                0.72953,                0.52978,                0.68588,                0.64896,                0.72953,                0.50821,                0.93448,               0.079196,                 1.0065,                 1.5072,               0.005842,               0.005842,               0.005842
                     44,                0.69444,                0.11549,                0.70227,                 1.1457,                0.84599,                0.65822,                 0.7879,                0.58066,                0.84599,                0.65822,                 0.7879,                 0.5683,                 0.9553,                0.07992,                 1.0097,                 1.5282,               0.005743,               0.005743,               0.005743
                     45,                0.65979,                0.10909,                0.73792,                   1.14,                0.80174,                0.59169,                0.74589,                0.55127,                0.80174,                0.59169,                0.74589,                0.53954,                  1.007,               0.077219,                 1.0414,                 1.6195,               0.005644,               0.005644,               0.005644
                     46,                0.71285,                0.12055,                0.73698,                 1.1505,                0.75579,                0.74681,                0.79795,                0.51623,                0.75579,                0.74681,                0.79795,                0.50787,                 1.0991,               0.080167,                   1.01,                 1.6726,               0.005545,               0.005545,               0.005545
                     47,                0.70154,                0.13513,                0.74559,                 1.1564,                0.69834,                0.75206,                0.75551,                0.51709,                0.69834,                0.75206,                0.75844,                0.50868,                 1.0448,               0.077378,                 1.0445,                 1.6588,               0.005446,               0.005446,               0.005446
                     48,                0.67044,                 0.1207,                0.68421,                 1.1214,                0.75592,                 0.6551,                0.68731,                0.53614,                0.75592,                 0.6551,                0.69646,                0.51745,                0.90052,               0.078139,                  1.088,                 1.4397,               0.005347,               0.005347,               0.005347
                     49,                0.66059,                0.11905,                0.67617,                 1.1114,                0.86442,                0.61418,                0.76055,                0.58067,                0.78659,                0.60774,                0.74407,                0.56345,                0.88475,               0.076365,                 1.0083,                 1.4134,               0.005248,               0.005248,               0.005248
                     50,                0.62381,                0.10751,                0.59925,                 1.1077,                0.75165,                0.64142,                0.74069,                0.56508,                0.75165,                0.64142,                 0.7475,                0.54435,                0.96969,               0.077874,                 1.0283,                 1.5378,               0.005149,               0.005149,               0.005149
                     51,                0.64774,                0.11161,                0.64538,                 1.0913,                 0.6758,                0.67941,                0.76753,                0.57307,                 0.6758,                0.67941,                0.75878,                0.55848,                0.86777,               0.080829,                 1.0302,                 1.3462,                0.00505,                0.00505,                0.00505
                     52,                0.60857,                  0.122,                0.60857,                 1.0665,                0.72287,                0.78118,                0.82434,                0.59812,                0.72287,                0.78118,                0.82434,                0.57261,                0.93269,               0.077882,                0.92033,                 1.4973,               0.004951,               0.004951,               0.004951
                     53,                0.61211,                0.12314,                0.60856,                 1.0907,                0.67463,                0.74369,                0.79428,                0.56825,                0.66079,                0.76452,                0.79068,                0.54982,                0.84335,               0.084137,                0.97091,                 1.3973,               0.004852,               0.004852,               0.004852
